case_id,expected_mode,governor_predicted,difficulty,subcategory,num_constraints_fired,has_qualified_signal,has_abstain_signal,has_disputed_signal,av_fired,av_jury_votes_no,av_strong_denial,has_any_denial,num_strong_denials,ie_fired,ie_signal,ie_max_similarity,ie_entity_match_found,ie_primary_match_found,ie_critical_match_found,ie_query_aspect,ie_summary_overlap,ie_has_matching_aspect,ie_has_conflicting_aspect,ie_detection_reason,ca_fired,ca_signal,ca_numerical_variance_detected,ca_pairs_checked,ca_first_evidence_char,ca_evidence_characters,ca_is_uncertainty_query,ca_relevance_filtered_count,caa_fired,caa_query_type,caa_has_causal_evidence,caa_has_predictive_evidence,sit_fired,sit_entity_mismatch,sit_info_type_requested,sit_has_specific_info,query_word_count,query_has_comparison_words,query_question_type,num_chunks,num_unique_sources,mean_vector_score,max_vector_score,min_vector_score,std_vector_score,score_spread,vocab_overlap_ratio,max_pairwise_overlap,min_pairwise_overlap,chunk_length_cv,assertion_density,hedge_density,number_density,ctx_length_mean,ctx_length_std,ctx_total_chars,ctx_contradiction_count,ctx_negation_count,ctx_number_count,ctx_number_variance,ctx_max_pairwise_sim,ctx_mean_pairwise_sim,ctx_min_pairwise_sim,year_count,has_distinct_years,detection_temporal,detection_comparison,detection_aggregation,detection_boost_recency,detection_boost_authority,detection_needs_rewriting
t1_abstain_hard_001,abstain,trustworthy,hard,wrong_specificity,1,True,False,False,True,3,True,True,0,False,none,0.7049800028264953,True,True,False,general,False,False,False,none,False,none,False,2,assertive,assertive_vs_assertive,False,0,False,none,True,False,False,False,none,False,15,False,what,3,1,0.6641560207855554,0.7147589565256196,0.6006391190280079,0.04747569354484359,0.11411983749761168,0.375,0.041666666666666664,0.0,0.198785919865146,-1.0,0.018867924528301886,1.6666666666666667,118.33333333333333,21.452790546272116,355,0.0,0.0,5.0,9420.96,0.06674884341240872,0.04385769708311129,0.031246995803410015,0,False,True,False,False,False,False,False
t1_abstain_hard_002,abstain,abstain,hard,wrong_specificity,1,False,True,False,False,0,False,True,1,True,abstain,0.6654455762105009,False,False,False,process,False,False,True,"aspect_mismatch:query asks process, chunks have ['symptom', 'application']",False,none,False,2,assertive,assertive_vs_assertive,False,0,False,none,False,False,False,False,none,False,8,False,what,3,1,0.5228479535770011,0.5963477139006783,0.45872685145240927,0.05657352070514261,0.13762086244826904,0.3333333333333333,0.0,0.0,0.14320549046737002,-1.0,0.0625,1.0,73.66666666666667,4.642796092394707,221,0.0,0.0,3.0,22756.22222222222,0.0,0.0,0.0,0,False,False,False,False,False,False,False
t1_abstain_hard_003,abstain,abstain,hard,wrong_specificity,1,False,True,False,False,0,False,True,1,True,abstain,0.7006327261912031,False,False,False,process,False,False,True,"aspect_mismatch:query asks process, chunks have ['treatment', 'application']",False,none,False,2,assertive,assertive_vs_assertive,True,0,False,none,False,False,False,False,none,False,6,False,how,3,1,0.6072457562232243,0.6987092232523558,0.522107195680827,0.07223605917242537,0.17660202757152887,0.5,0.07142857142857142,0.0625,0.14782502241793033,-1.0,0.03225806451612903,0.3333333333333333,66,8.831760866327848,198,0.0,0.0,1.0,0.0,0.05106869890569357,0.049868159761983034,0.04746708147456197,1,False,False,False,False,False,False,False
t1_abstain_hard_004,abstain,abstain,hard,wrong_specificity,2,True,True,False,True,2,True,True,1,True,abstain,0.7055745102942113,True,False,False,none,False,False,False,missing_primary:['alzheimers'],False,none,False,2,assertive,assertive_vs_assertive,False,0,False,none,False,False,False,False,none,False,4,False,what,3,1,0.5780543689497615,0.65386901811287,0.4664352211547461,0.08059912593507232,0.1874337969581239,0.3333333333333333,0.07142857142857142,0.0,0.22303564279994276,-1.0,0.03571428571428571,0.0,75,7.788880963698615,225,0.0,0.0,0.0,0.0,0.08574586629289559,0.054902000095072755,0.0,0,False,False,False,False,False,False,False
t1_abstain_hard_005,abstain,disputed,hard,wrong_domain,1,False,False,True,False,0,False,True,1,False,none,0.6743822015803135,True,True,False,definition,False,False,False,none,True,disputed,False,2,assertive,assertive_vs_assertive,False,0,False,none,False,False,False,False,none,False,9,False,what,3,1,0.5789331276648376,0.5964390982905257,0.5657539133003443,0.01289536762506219,0.030685184990181358,0.5,0.15384615384615385,0.1111111111111111,0.12385339716096865,0.0,0.0,0.0,81,7.3484692283495345,243,0.0,1.0,0.0,0.0,0.158710263527014,0.08448425227694424,0.04334632681303358,0,False,False,False,False,False,False,False
t1_abstain_hard_006,abstain,trustworthy,hard,wrong_domain,1,True,False,False,True,2,True,True,0,False,none,0.7189997117618517,False,False,False,definition,False,False,False,none,False,none,False,2,assertive,assertive_vs_assertive,False,0,False,none,False,False,False,False,none,False,11,False,what,3,1,0.5997576371387271,0.7189460913939079,0.5160784063946218,0.08654287230427865,0.2028676849992861,0.5,0.07142857142857142,0.0,0.08333333333333333,0.0,0.0,0.0,75.33333333333333,8.339997335464536,226,0.0,0.0,0.0,0.0,0.08191793726044096,0.02730597908681365,0.0,0,False,False,False,False,False,False,False
t1_abstain_hard_007,abstain,trustworthy,hard,decoy_keywords,0,False,False,False,False,0,False,False,0,False,none,0.728934637027349,False,False,False,definition,False,False,False,none,False,none,False,2,assertive,assertive_vs_assertive,False,0,False,none,False,False,False,False,none,False,8,False,what,3,1,0.6416779619743456,0.770408382917117,0.5572754631167985,0.09248471543250641,0.21313291980031845,0.5,0.058823529411764705,0.058823529411764705,0.04681218398834803,0.0,0.0,0.6666666666666666,78.66666666666667,4.714045207910317,236,1.0,0.0,2.0,1.0,0.1287822471452689,0.09483883154504535,0.07411538971224457,0,False,False,False,False,False,False,False
t1_abstain_hard_008,abstain,disputed,hard,decoy_keywords,2,True,False,True,False,0,False,True,1,False,none,0.7116285195197624,False,False,False,pricing,False,False,False,none,True,disputed,False,2,assertive,assertive_vs_assertive,False,0,False,none,False,False,True,False,pricing,False,10,False,how,3,1,0.6420653969696433,0.7918161248877681,0.5259342711715155,0.11111855011331477,0.2658818537162526,0.4,0.16666666666666666,0.0,0.1,-1.0,0.03333333333333333,0.6666666666666666,65,0.816496580927726,195,0.0,0.0,2.0,2.25,0.34271334663415687,0.16251658613944106,0.06428030371625602,0,False,False,False,False,False,False,False
t1_abstain_hard_009,abstain,trustworthy,hard,wrong_specificity,1,True,False,False,False,1,False,True,0,False,none,0.6725891828084085,False,False,False,definition,False,False,False,none,False,none,False,2,assertive,assertive_vs_assertive,False,0,False,none,False,False,True,False,specification,False,12,False,what,3,1,0.6696904174707098,0.7158360022474493,0.6368983604642596,0.033581000089402825,0.07893764178318963,0.2857142857142857,0.09090909090909091,0.0,0.17320508075688773,0.0,0.0,0.0,68,1.632993161855452,204,0.0,0.0,0.0,0.0,0.1078407680008942,0.07189384533392947,0.0,0,False,False,False,False,False,False,False
t1_abstain_hard_010,abstain,abstain,hard,wrong_domain,2,True,True,False,False,0,False,True,1,True,abstain,0.6495029421714162,False,False,False,cause,False,False,True,"aspect_mismatch:query asks cause, chunks have ['treatment', 'process', 'definition', 'symptom', 'effect']",False,none,False,1,assertive,assertive_vs_assertive,True,1,True,causal,False,False,False,False,none,False,10,False,why,3,1,0.54983362920213,0.6304115313120873,0.44092727402941534,0.07990805916463449,0.18948425728267193,0.4,0.0,0.0,0.18181818181818182,-1.0,0.030303030303030304,0.3333333333333333,76.66666666666667,13.224556283251582,230,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,False,False,False,False,False,False,False
